id_amat;id_via;anagrafica;gerarchia;rete;tipologia;sede;marcia;norma;lunghezza;geometry
12079;3334;VIA CESARE LOMBROSO;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;46.0;LINESTRING (9.231876682877219 45.4561582212672, 9.231285088566864 45.45615347121642)
12290;2274;VIALE MONZA;;ciclabile;corsia ciclabile - bike lane;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;137.0;LINESTRING (9.222905147697995 45.50643806937919, 9.22326921576531 45.5076406877244)
12080;3334;VIA CESARE LOMBROSO;;ciclabile;corsia ciclabile - attraversamento;attraversamento;monodirezionale - concorde;ordinanza lavori stradali;27.0;LINESTRING (9.231285088566864 45.45615347121642, 9.23093350272576 45.45614823382974)
12081;3334;VIA CESARE LOMBROSO;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;109.0;LINESTRING (9.23093350272576 45.45614823382974, 9.229539044374107 45.45614033455783)
12082;3334;VIA CESARE LOMBROSO;;ciclabile;corsia ciclabile - attraversamento DL 34/2020;attraversamento;monodirezionale - concorde;ordinanza lavori stradali;44.0;LINESTRING (9.229539044374107 45.45614033455783, 9.22897280339506 45.45613552165516)
12083;3334;VIA CESARE LOMBROSO;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;161.0;LINESTRING (9.22897280339506 45.45613552165516, 9.226912392567588 45.45612535273435)
12084;3334;VIA CESARE LOMBROSO;;ciclabile;corsia ciclabile - attraversamento;attraversamento;monodirezionale - concorde;ordinanza lavori stradali;13.0;LINESTRING (9.226912392567588 45.45612535273435, 9.226739982682222 45.45612331551153)
12085;3334;VIA CESARE LOMBROSO;;ciclabile;corsia ciclabile - segnaletica protetta da sosta;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;179.0;LINESTRING (9.226739982682222 45.45612331551153, 9.22445479325382 45.45612178829664)
12086;3334;VIA CESARE LOMBROSO;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;592.0;LINESTRING (9.22430309014541 45.45622187552991, 9.226906103367723 45.45624312970501, 9.229924907107304 45.45626208230226, 9.231870389405255 45.45627242989869)
12087;3334;VIA CESARE LOMBROSO;;ciclabile;corsia ciclabile - attraversamento DL 34/2020;attraversamento;monodirezionale - concorde;ordinanza lavori stradali;26.0;LINESTRING (9.231870389405255 45.45627242989869, 9.232203374104158 45.45627532308077)
12088;3334;VIA CESARE LOMBROSO;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;69.0;LINESTRING (9.232203374104158 45.45627532308077, 9.232784848074338 45.45628484713212, 9.233078997343339 45.45629733310736)
12089;3334;VIA CESARE LOMBROSO;;ciclabile;corsia ciclabile - attraversamento;attraversamento;monodirezionale - concorde;ordinanza lavori stradali;19.0;LINESTRING (9.233078997343339 45.45629733310736, 9.233320735707446 45.45630635661744)
12090;3334;VIA CESARE LOMBROSO;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;44.0;LINESTRING (9.233320735707446 45.45630635661744, 9.23387855711924 45.45631830242302)
12091;3334;VIA CESARE LOMBROSO;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;417.0;LINESTRING (9.237562783488942 45.45619847310176, 9.237151994864005 45.4561949878179, 9.236043178668281 45.45618657539222, 9.235512440899136 45.45618410072203, 9.233872877650576 45.45617081103072, 9.232224888455827 45.45616346261303)
12092;3334;VIA CESARE LOMBROSO;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;287.0;LINESTRING (9.237554913446063 45.45634938678489, 9.236354795819972 45.45633462448586, 9.235465708520401 45.45632694177088, 9.23387855711924 45.45631830242302)
12093;3178;VIALE MOLISE;;ciclabile;corsia ciclabile - attraversamento DL 34/2020;attraversamento;monodirezionale - concorde;ordinanza lavori stradali;61.0;LINESTRING (9.22430309014541 45.45622187552991, 9.224160349116115 45.45624378480187, 9.224089377034289 45.45624808723958, 9.223816399745663 45.45624624255728, 9.22363638366935 45.456244215531, 9.223520609416303 45.4562456313392)
12094;3225;VIA CALVAIRATE;;ciclabile;corsia ciclabile - segnaletica protetta da sosta;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;121.0;LINESTRING (9.223520609416303 45.4562456313392, 9.22303381905326 45.4562436075818, 9.22197147708833 45.45623318363119)
12095;4100;VIALE PUGLIE;;ciclabile;corsia ciclabile - bike lane;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;620.0;LINESTRING (9.223907122138707 45.44456845424325, 9.224031306057103 45.44482811585918, 9.224047793723994 45.44489091092324, 9.224050719830384 45.44495184232461, 9.223987012463715 45.45006560000872, 9.223976969134634 45.45013653975099)
12096;4100;VIALE PUGLIE;;ciclabile;corsia ciclabile - bike lane;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;358.0;LINESTRING (9.224388123665266 45.44456836983434, 9.224277568007292 45.44474260512976, 9.22423665316483 45.4448151930416, 9.22421632763378 45.44488484027679, 9.22420423094648 45.44495157107217, 9.224155267626777 45.44776636377298)
12097;4100;VIALE PUGLIE;;ciclabile;corsia ciclabile - attraversamento DL 34/2020;attraversamento;monodirezionale - concorde;ordinanza lavori stradali;18.0;LINESTRING (9.224155267626777 45.44776636377298, 9.224152439341953 45.44792894794752)
12098;4100;VIALE PUGLIE;;ciclabile;corsia ciclabile - bike lane;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;284.0;LINESTRING (9.224152439341953 45.44792894794752, 9.224129387021112 45.4499895506729, 9.224154529007846 45.45009536256249, 9.224177496084423 45.45017217565231, 9.224176043829821 45.45032589468451, 9.224184570360119 45.45039802307085, 9.224203280767293 45.45044040336773, 9.224234972108988 45.45047686530776)
